OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
5211,124902,1249.02,3644289.50609632,8062.46972701832
5212,124903,1249.03,3351724.23355039,7812.2009168645
5213,125101,1251.01,6993797.27436708,10577.5947633497
5214,125102,1251.02,6984254.14438182,10570.9067226949
5215,125200,1252.00,14032632.2465963,15860.7230760783
5216,125310,1253.10,11344368.7959495,19251.0938507507
5217,125321,1253.21,2790573.45104795,6882.61422533949
5218,125322,1253.22,4016990.46335824,8863.78248781062
5219,125402,1254.02,7889271.70631424,11288.3540357334
5220,125403,1254.03,1811797.30646042,6036.39524196345
5221,125404,1254.04,2469661.95802949,8591.64331019108
5222,125501,1255.01,4995201.97393703,9227.60363389496
5223,125502,1255.02,5628290.55600844,9622.55792102862
5224,125600,1256.00,11003262.2362389,14763.8736150464
5225,127102,1271.02,9248440.2161011,12299.365030023
5226,127103,1271.03,3078754.60062701,7541.24723480297
5227,127104,1271.04,7618187.6114247,11271.0613944186
5228,127210,1272.10,16590336.4690761,19666.1540846527
5229,127220,1272.20,7027601.70356176,10597.7543526201
5230,127300,1273.00,11400820.5723774,15057.6559872183
5231,127400,1274.00,23481259.378979,25121.3298375496
5232,127520,1275.20,3914727.63497242,7988.03729756863
5233,127603,1276.03,4643287.951848,9725.94419222263
5234,127604,1276.04,4677029.41108987,9875.25062723866
5235,127605,1276.05,6981245.81724181,10568.6411816264
5236,127606,1276.06,5852103.9023442,9732.73095122999
5237,127711,1277.11,10199768.0304964,13542.4699221681
5238,127712,1277.12,6135131.61390466,9824.35699473026
5239,127803,1278.03,6897436.31490447,10521.7462719056
5240,127804,1278.04,6868353.6484406,10483.5686346667
5241,127805,1278.05,6614074.62736351,13204.8272805561
5242,127806,1278.06,7352993.19341121,13484.5354971583
5243,127910,1279.10,6993754.40497008,10580.3823960639
5244,127920,1279.20,6982234.68214682,10569.2063717993
5245,128101,1281.01,6984201.74514711,10570.7581505392
5246,128102,1281.02,6983275.12252955,10570.6971593494
5247,128210,1282.10,5919273.86541796,9764.43827506449
5248,128220,1282.20,5979977.10318629,10040.0531732803
5249,128302,1283.02,7414485.40712033,12437.5243626656
5250,128303,1283.03,4455381.34790171,9765.85929629502
5251,128400,1284.00,18576516.5883284,22571.8203362435
5252,128500,1285.00,10481214.3860243,13224.656638247
5253,128601,1286.01,7339199.21794872,13840.6277976042
5254,128602,1286.02,12209301.9590166,14527.2152803423
5255,128703,1287.03,8910739.95827448,11759.0300291883
5256,128704,1287.04,8965439.16887649,12103.9478711504
5257,128801,1288.01,5296822.22260437,9461.71861853644
5258,128802,1288.02,10452953.6011439,13223.9641719509
5259,128910,1289.10,14388073.4898517,17404.4230333756
5260,131021,1310.21,6053641.28947105,10619.5458565875
5261,131022,1310.22,5427135.97746168,10054.9697821236
5262,131023,1310.23,6339742.68289762,10095.4776541001
5263,131024,1310.24,9212622.66504719,12287.1429260679
5264,131100,1311.00,11859136.4136988,14177.7720510458
5265,131200,1312.00,12145358.9535593,14480.9908774288
5266,131300,1313.00,12033304.5192426,14396.2257332112
5267,131400,1314.00,11916305.2924847,14307.2213231125
5268,131600,1316.00,23580778.1841341,19437.3241925582
5269,131701,1317.01,7100111.06241734,10658.5007842814
5270,131702,1317.02,7761381.87255912,11155.236635792
5271,131801,1318.01,7064102.64538428,10634.0758447023
5272,131802,1318.02,7095756.60197859,10655.7989989559
5273,131900,1319.00,14188183.7905812,15934.6498012584
5274,132001,1320.01,10425781.1034277,13176.7236052149
5275,132002,1320.02,17223434.6826296,21045.8260386697
5276,132101,1321.01,8723825.91317209,11887.8822875939
5277,132102,1321.02,14759855.7885823,18876.3353775982
5278,132301,1323.01,6791553.40101927,13146.9816311343
5279,132302,1323.02,6970277.96433689,13199.8563542463
5280,132501,1325.01,7585902.83471429,11008.2848047048
5281,132502,1325.02,6724907.02461499,10978.7455439806
5282,132700,1327.00,14222014.8109831,15692.7242065885
5283,132900,1329.00,12852276.7202977,18197.0142079301
5284,133000,1330.00,10787218.8621023,14158.0107359528
5285,133101,1331.01,7144927.03752089,10976.4377424561
5286,133102,1331.02,9215566.68968381,12061.6513392071
5287,134001,1340.01,6280335.42746679,12140.6634443207
5288,134002,1340.02,8110430.302693,13626.2432118584
5289,134101,1341.01,11471199.2763727,13966.1252736205
5290,134103,1341.03,11307062.9164773,17436.7934762349
5291,134104,1341.04,6974297.42700936,10562.5443777487
5292,134201,1342.01,15786890.4939514,16455.9515818421
5293,134302,1343.02,14066048.5567007,15260.781337391
5294,134303,1343.03,17059177.7802215,17236.4565151408
5295,134304,1343.04,10983146.1084266,13572.0932467266
5296,134305,1343.05,3848663.90796438,8097.51908170522
5297,134306,1343.06,6671301.67980843,10337.9129885424
5298,134421,1344.21,22974734.4394437,19313.332880193
5299,134422,1344.22,25274199.9226513,25532.2069075056
5300,134423,1344.23,16866286.9511821,18426.9533376393
5301,134424,1344.24,39941852.4642232,27350.1613914983
5302,134520,1345.20,10410480.7716818,13162.3982811911
5303,134521,1345.21,3786338.21464084,8186.67083086449
5304,134522,1345.22,6622491.90034817,10276.0442684866
5305,134710,1347.10,6141778.7319434,9944.81241149216
5306,134720,1347.20,10650527.625007,13301.3140805633
5307,134801,1348.01,9947561.66413605,13016.0862855137
5308,134802,1348.02,10227080.177593,12886.245462737
5309,134901,1349.01,11430800.7742782,15182.4449119529
5310,134904,1349.04,11191145.4827003,15680.8405837909
5311,134905,1349.05,27841675.5226833,22067.9921877133
5312,134906,1349.06,1881279.9337966,7329.32305025785
5313,134907,1349.07,4213747.71891389,9405.29686940195
5314,135102,1351.02,17958064.7034323,18952.7252001752
5315,135111,1351.11,11190476.1430831,13450.5215976465
5316,135113,1351.13,6927095.90433494,13080.9626384168
5317,135115,1351.15,3589811.84110381,8176.141863435
5318,135116,1351.16,10079453.1308435,13024.323848884
5319,135201,1352.01,16487042.0776978,18595.2000683827
5320,135202,1352.02,18971223.8319524,17817.5533084669
5321,135204,1352.04,19993004.3384968,18737.6212809802
5322,135205,1352.05,28456744.2726746,24915.6957303982
5323,137000,1370.00,32407951.1615622,32602.3468769778
5324,137103,1371.03,8177038.07646996,11777.6605056727
5325,137104,1371.04,27605172.2023086,23404.4055803442
5326,137202,1372.02,9364189.26838185,13002.3484876435
5327,137203,1372.03,12099806.8568043,14510.4303067788
5328,137301,1373.01,17325461.9260045,20267.8726127132
5329,137302,1373.02,26336488.277566,25068.0516351718
5330,137401,1374.01,25590865.9637903,26377.214751632
5331,137402,1374.02,33175391.2301333,30889.3711864712
5332,137501,1375.01,27063405.6138273,24228.6463786903
5333,137502,1375.02,22497691.0426913,19258.4265640139
5334,137504,1375.04,41305116.3869586,32874.7738747461
5335,138000,1380.00,48135943.0880123,31253.1303791569
5336,139001,1390.01,13344180.1452242,17734.572191981
5337,139200,1392.00,12399572.3607831,14017.0970839539
5338,139301,1393.01,30843790.9993949,26908.0938781288
5339,139302,1393.02,3641075.09894857,7960.59053121964
5340,139303,1393.03,4472901.07945043,9039.50143595843
5341,139401,1394.01,9765085.11148454,12733.7083298331
5342,139402,1394.02,26304322.7165142,28597.9891849376
5343,139502,1395.02,11275140.0576187,16958.9414706656
5344,139504,1395.04,3111312.44818498,8102.19468091898
5345,139505,1395.05,1821398.9008195,6648.2808540098
5346,139506,1395.06,1964296.13844799,6284.29679001061
5347,139600,1396.00,26665920.9049505,20761.20167289
5348,139701,1397.01,36582509.7714942,32947.2954489924
5349,139703,1397.03,50898904.865778,41376.8023175192
5350,139704,1397.04,68360795.9961149,43907.4689228719
5351,139705,1397.05,32758541.3154798,38575.4684431784
5352,139801,1398.01,39466682.4951659,27776.5995197269
5353,139802,1398.02,65400730.6945321,46975.2850151635
5354,141101,1411.01,8170710.47361871,11728.9072151688
5355,141102,1411.02,8383648.90431244,15328.3851232558
5356,141201,1412.01,7545646.49695009,12115.1534927358
5357,141202,1412.02,7536244.17343778,12658.3323464071
5358,141303,1413.03,2828156.8493705,7096.50912777501
5359,141304,1413.04,7666046.19405397,14136.1390883648
5360,141305,1413.05,7439679.34239494,11418.4436842688
5361,141306,1413.06,6448497.150811,12450.0875723756
5362,141400,1414.00,21337124.717517,19434.9981950798
5363,141500,1415.00,35251880.6042039,31415.464545428
5364,141600,1416.00,42034369.1679369,37482.0799093998
5365,141700,1417.00,34917644.2667759,31997.5277591447
