geoid,geoid20,year,denom_occupied_housing,overcrowded_hh_count,overcrowded_hh_pct
1400000US06037134201,6037134201,2022,1306,159,12.174579
1400000US06037134302,6037134302,2022,1391,85,6.1107116
1400000US06037134303,6037134303,2022,1924,95,4.9376297
1400000US06037134304,6037134304,2022,933,21,2.2508039
1400000US06037134305,6037134305,2022,1212,349,28.79538
1400000US06037134306,6037134306,2022,1430,294,20.559441
1400000US06037134421,6037134421,2022,1514,8,.52840161
1400000US06037134422,6037134422,2022,1556,6,.38560411
1400000US06037134423,6037134423,2022,1323,0,0
1400000US06037134424,6037134424,2022,1030,8,.77669901
1400000US06037134520,6037134520,2022,1904,431,22.636555
1400000US06037134521,6037134521,2022,770,300,38.96104
1400000US06037134522,6037134522,2022,1451,418,28.807718
1400000US06037134710,6037134710,2022,1582,505,31.921618
1400000US06037134720,6037134720,2022,1769,201,11.362351
1400000US06037134801,6037134801,2022,1116,72,6.4516129
1400000US06037134802,6037134802,2022,839,143,17.0441
1400000US06037134901,6037134901,2022,988,27,2.7327936
1400000US06037134904,6037134904,2022,1420,224,15.774648
1400000US06037134905,6037134905,2022,2866,299,10.432659
1400000US06037134906,6037134906,2022,1136,315,27.728872
1400000US06037134907,6037134907,2022,1696,138,8.1367922
1400000US06037135102,6037135102,2022,1197,52,4.3441939
1400000US06037135111,6037135111,2022,1270,213,16.771654
1400000US06037135113,6037135113,2022,1315,84,6.3878326
1400000US06037135115,6037135115,2022,1441,414,28.730049
1400000US06037135116,6037135116,2022,1033,9,.87124878
1400000US06037135201,6037135201,2022,869,36,4.1426926
1400000US06037135202,6037135202,2022,1498,104,6.9425902
1400000US06037135204,6037135204,2022,1639,36,2.1964612
1400000US06037135205,6037135205,2022,765,6,.78431374
1400000US06037137000,6037137000,2022,1703,30,1.7615972
1400000US06037137103,6037137103,2022,2395,182,7.599165
1400000US06037137104,6037137104,2022,971,22,2.2657053
1400000US06037137202,6037137202,2022,1368,103,7.5292397
1400000US06037137203,6037137203,2022,837,40,4.7789726
1400000US06037137301,6037137301,2022,746,10,1.3404826
1400000US06037137302,6037137302,2022,1548,14,.90439278
1400000US06037137401,6037137401,2022,1567,51,3.2546268
1400000US06037137402,6037137402,2022,2038,131,6.4278703
1400000US06037137501,6037137501,2022,2026,162,7.9960513
1400000US06037137502,6037137502,2022,1695,84,4.9557524
1400000US06037137504,6037137504,2022,662,0,0
1400000US06037138000,6037138000,2022,1832,0,0
1400000US06037139001,6037139001,2022,2233,142,6.359158
1400000US06037139200,6037139200,2022,2294,85,3.7053182
1400000US06037139301,6037139301,2022,1479,28,1.8931711
1400000US06037139302,6037139302,2022,1944,263,13.528807
1400000US06037139303,6037139303,2022,2154,112,5.1996288
1400000US06037139401,6037139401,2022,1158,64,5.5267701
1400000US06037139402,6037139402,2022,946,7,.73995769
1400000US06037139502,6037139502,2022,1163,83,7.1367154
1400000US06037139504,6037139504,2022,1804,136,7.5388026
1400000US06037139505,6037139505,2022,1522,89,5.847569
1400000US06037139506,6037139506,2022,1486,127,8.5464334
1400000US06037139600,6037139600,2022,2286,152,6.649169
1400000US06037139701,6037139701,2022,2115,0,0
1400000US06037139703,6037139703,2022,865,62,7.1676302
1400000US06037139704,6037139704,2022,982,11,1.120163
1400000US06037139705,6037139705,2022,1318,0,0
1400000US06037139801,6037139801,2022,1218,11,.90311986
1400000US06037139802,6037139802,2022,1424,0,0
1400000US06037141101,6037141101,2022,2275,58,2.5494506
1400000US06037141102,6037141102,2022,1347,52,3.8604305
1400000US06037141201,6037141201,2022,2133,54,2.5316455
1400000US06037141202,6037141202,2022,1448,24,1.6574585
1400000US06037141303,6037141303,2022,1666,33,1.9807923
1400000US06037141304,6037141304,2022,1499,46,3.0687125
1400000US06037141305,6037141305,2022,1411,6,.42523032
1400000US06037141306,6037141306,2022,1482,18,1.2145749
1400000US06037141400,6037141400,2022,1990,107,5.3768845
1400000US06037141500,6037141500,2022,1103,0,0
1400000US06037141600,6037141600,2022,1729,0,0
1400000US06037141700,6037141700,2022,1162,10,.86058521
1400000US06037143101,6037143101,2022,1074,20,1.8621974
1400000US06037143102,6037143102,2022,1208,54,4.4701986
1400000US06037143200,6037143200,2022,2065,149,7.2154965
1400000US06037143301,6037143301,2022,1589,153,9.6286974
1400000US06037143302,6037143302,2022,1618,25,1.5451174
1400000US06037143401,6037143401,2022,2304,17,.73784721
1400000US06037143402,6037143402,2022,771,0,0
1400000US06037143500,6037143500,2022,2334,0,0
1400000US06037143602,6037143602,2022,2258,66,2.9229407
1400000US06037143603,6037143603,2022,1331,26,1.9534185
1400000US06037143605,6037143605,2022,932,143,15.343348
1400000US06037143606,6037143606,2022,1003,31,3.0907278
1400000US06037143700,6037143700,2022,1800,26,1.4444444
1400000US06037143801,6037143801,2022,1384,0,0
1400000US06037143802,6037143802,2022,1049,50,4.7664442
1400000US06037143901,6037143901,2022,1583,13,.82122552
1400000US06037143902,6037143902,2022,1389,26,1.8718503
1400000US06037181000,6037181000,2022,2197,18,.81929904
1400000US06037181300,6037181300,2022,1288,83,6.4440994
1400000US06037181400,6037181400,2022,1647,164,9.9574986
1400000US06037181500,6037181500,2022,1325,115,8.679245
1400000US06037181600,6037181600,2022,1055,40,3.7914691
1400000US06037183101,6037183101,2022,1154,30,2.5996535
1400000US06037183103,6037183103,2022,1623,172,10.597659
1400000US06037183104,6037183104,2022,744,15,2.016129
1400000US06037183220,6037183220,2022,1066,140,13.133208
1400000US06037183221,6037183221,2022,1137,83,7.299912
1400000US06037183222,6037183222,2022,1555,70,4.5016079
1400000US06037183300,6037183300,2022,1100,174,15.818182
1400000US06037183401,6037183401,2022,819,96,11.721612
1400000US06037183402,6037183402,2022,1061,121,11.404336
1400000US06037183510,6037183510,2022,775,57,7.3548388
1400000US06037183520,6037183520,2022,1165,317,27.2103
1400000US06037183610,6037183610,2022,1004,136,13.545816
1400000US06037183620,6037183620,2022,1053,82,7.7872744
1400000US06037183701,6037183701,2022,1311,201,15.331808
1400000US06037183702,6037183702,2022,1129,41,3.6315324
1400000US06037183810,6037183810,2022,1518,283,18.642952
1400000US06037183820,6037183820,2022,1269,206,16.233255
1400000US06037185101,6037185101,2022,1015,159,15.665025
1400000US06037185102,6037185102,2022,1419,177,12.473573
1400000US06037185202,6037185202,2022,1501,140,9.3271151
1400000US06037185203,6037185203,2022,886,99,11.173815
1400000US06037185204,6037185204,2022,718,53,7.3816156
1400000US06037185310,6037185310,2022,867,171,19.723183
1400000US06037185320,6037185320,2022,925,198,21.405405
1400000US06037186100,6037186100,2022,1838,59,3.2100108
1400000US06037186201,6037186201,2022,1296,209,16.126543
1400000US06037186202,6037186202,2022,723,75,10.373444
1400000US06037186203,6037186203,2022,1062,48,4.519774
1400000US06037186301,6037186301,2022,829,124,14.957781
1400000US06037186302,6037186302,2022,1850,103,5.5675673
1400000US06037186401,6037186401,2022,857,245,28.588099
1400000US06037186403,6037186403,2022,761,151,19.842312
1400000US06037186404,6037186404,2022,786,92,11.704835
1400000US06037187101,6037187101,2022,1210,19,1.5702479
1400000US06037187102,6037187102,2022,1593,357,22.410545
1400000US06037187200,6037187200,2022,1048,157,14.980916
1400000US06037187300,6037187300,2022,1645,59,3.5866261
1400000US06037188100,6037188100,2022,1859,139,7.477138
1400000US06037188201,6037188201,2022,1572,71,4.5165396
1400000US06037188202,6037188202,2022,1288,41,3.1832299
1400000US06037188300,6037188300,2022,1327,209,15.749811
1400000US06037189101,6037189101,2022,1218,24,1.9704434
1400000US06037189102,6037189102,2022,1952,25,1.2807378
1400000US06037189201,6037189201,2022,1775,84,4.7323942
